Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1993,1993,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1994,1994,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1995,1995,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1996,1996,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1997,1997,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1998,1998,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1999,1999,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2000,2000,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2001,2001,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2002,2002,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2003,2003,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2004,2004,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2005,2005,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2006,2006,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2007,2007,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2008,2008,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2009,2009,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2010,2010,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2011,2011,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2012,2012,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2013,2013,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2014,2014,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2015,2015,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2016,2016,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2017,2017,ha,,M,Data not available
QC,Crops,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2018,2018,ha,,M,Data not available
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1961,1961,tonnes,600,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1962,1962,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1963,1963,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1964,1964,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1965,1965,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1966,1966,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1967,1967,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1968,1968,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1969,1969,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1970,1970,tonnes,300,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1971,1971,tonnes,400,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1972,1972,tonnes,400,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1973,1973,tonnes,500,F,FAO estimate
QC,Crops,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1974,1974,tonnes,600,F,FAO estimate
