Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"2","Afghanistan","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 persons","7752.118000","7840.156000","7935.997000","8039.694000","8151.317000","8270.991000","8398.875000","8535.163000","8680.101000","8833.946000","8996.973000","9169.410000","9351.441000","9543.205000","9744.781000","9956.320000","10174.836000","10399.926000","10637.063000","10893.776000","11173.642000","11475.445000","11791.215000","12108.963000","12412.950000","12689.160000","12943.093000","13171.306000","13341.198000","13411.056000","13356.511000","13171.673000","12882.528000","12537.730000","12204.292000","11938.208000","11736.179000","11604.534000","11618.005000","11868.877000","12412.308000","13299.017000","14485.546000","15816.603000","17075.727000","18110.657000","18853.437000","19357.126000","19737.765000","20170.844000","20779.953000","21606.988000","22600.770000","23680.871000","24726.684000","25654.277000","26433.049000","27100.536000","27722.276000","28394.813000","29185.507000","30117.413000","31161.376000","32269.589000","33370.794000","34413.603000","35383.032000","36296.113000","37171.921000","38041.754000","38928.346000","39835.428000","40754.388000","41681.231000","42608.716000","43531.519000","44449.091000","45363.557000","46275.304000","47185.167000","48093.578000","49000.192000","49904.006000","50803.996000","51698.847000","52587.408000","53468.953000","54342.906000","55208.546000","56065.151000","56912.009000","57748.478000","58573.852000","59387.205000","60187.568000","60974.113000","61746.117000","62503.155000","63245.029000","63971.680000","64682.974000","65378.505000","66057.690000","66720.056000","67365.060000","67992.202000","68601.074000","69191.264000","69762.274000","70313.576000","70844.694000","71355.256000","71844.948000","72313.406000","72760.289000","73185.295000","73588.198000","73968.841000","74327.017000","74662.572000","74975.407000","75265.442000","75532.715000","75777.329000","75999.482000","76199.346000","76377.118000","76532.931000","76666.939000","76779.299000","76870.225000","76940.011000","76989.046000","77017.758000","77026.661000","77016.257000","76987.007000","76939.410000","76874.093000","76791.720000","76692.974000","76578.450000","76448.747000","76304.424000","76146.060000","75974.256000","75789.684000","75593.009000","75384.981000","75166.352000","74937.964000"
"2","Afghanistan","3010","Population - Est. & Proj.","512","Total Population - Male","1000 persons","4099.243000","4134.756000","4174.450000","4218.336000","4266.484000","4318.945000","4375.800000","4437.157000","4503.156000","4573.914000","4649.573000","4730.250000","4816.050000","4907.030000","5003.245000","5104.765000","5210.122000","5319.123000","5434.458000","5559.836000","5697.024000","5845.351000","6000.895000","6157.843000","6308.583000","6446.273000","6573.732000","6689.144000","6776.023000","6813.205000","6788.273000","6698.730000","6557.673000","6388.704000","6224.263000","6091.889000","5988.520000","5918.156000","5922.669000","6054.345000","6344.617000","6821.673000","7461.092000","8176.785000","8848.711000","9392.627000","9770.493000","10012.241000","10184.272000","10386.589000","10689.508000","11117.754000","11642.106000","12214.634000","12763.726000","13239.684000","13623.896000","13938.970000","14225.725000","14544.055000","14935.756000","15415.361000","15964.874000","16554.278000","17138.803000","17686.166000","18186.994000","18651.985000","19093.043000","19529.727000","19976.265000","20434.981000","20900.542000","21370.629000","21840.937000","22308.331000","22772.561000","23234.943000","23695.674000","24155.170000","24613.640000","25070.887000","25526.394000","25979.603000","26429.846000","26876.517000","27319.205000","27757.638000","28191.408000","28620.148000","29043.466000","29461.026000","29872.461000","30277.283000","30674.976000","31065.109000","31447.316000","31821.361000","32187.123000","32544.597000","32893.674000","33234.157000","33565.757000","33888.239000","34201.356000","34504.862000","34798.585000","35082.309000","35355.755000","35618.617000","35870.653000","36111.681000","36341.567000","36560.171000","36767.342000","36962.959000","37146.965000","37319.334000","37480.009000","37628.990000","37766.272000","37891.874000","38005.895000","38108.542000","38200.131000","38280.905000","38351.049000","38410.680000","38459.839000","38498.553000","38526.920000","38545.101000","38553.376000","38552.021000","38541.382000","38521.777000","38493.465000","38456.731000","38411.948000","38359.512000","38299.808000","38233.156000","38159.870000","38080.223000","37994.477000","37902.920000","37805.856000","37703.619000","37596.553000","37485.029000","37369.440000"
"2","Afghanistan","3010","Population - Est. & Proj.","513","Total Population - Female","1000 persons","3652.874000","3705.395000","3761.546000","3821.348000","3884.832000","3952.047000","4023.073000","4098.000000","4176.941000","4260.033000","4347.394000","4439.156000","4535.392000","4636.170000","4741.527000","4851.553000","4964.718000","5080.813000","5202.606000","5333.936000","5476.630000","5630.099000","5790.327000","5951.120000","6104.377000","6242.891000","6369.361000","6482.150000","6565.176000","6597.855000","6568.227000","6472.949000","6324.845000","6149.028000","5980.043000","5846.315000","5747.657000","5686.382000","5695.339000","5814.528000","6067.694000","6477.343000","7024.451000","7639.816000","8227.017000","8718.035000","9082.951000","9344.885000","9553.498000","9784.258000","10090.449000","10489.238000","10958.668000","11466.237000","11962.963000","12414.590000","12809.162000","13161.572000","13496.556000","13850.751000","14249.755000","14702.050000","15196.504000","15715.314000","16232.001000","16727.437000","17196.034000","17644.126000","18078.879000","18512.030000","18952.076000","19400.447000","19853.843000","20310.603000","20767.777000","21223.192000","21676.545000","22128.617000","22579.631000","23029.995000","23479.936000","23929.303000","24377.614000","24824.382000","25268.993000","25710.898000","26149.735000","26585.279000","27017.135000","27445.009000","27868.542000","28287.454000","28701.386000","29109.927000","29512.590000","29908.999000","30298.803000","30681.797000","31057.897000","31427.085000","31789.302000","32144.341000","32491.936000","32831.822000","33163.714000","33487.336000","33802.492000","34108.964000","34406.523000","34694.959000","34974.041000","35243.579000","35503.374000","35753.234000","35992.952000","36222.328000","36441.231000","36649.504000","36847.003000","37033.587000","37209.132000","37373.572000","37526.832000","37668.781000","37799.340000","37918.438000","38026.065000","38122.250000","38207.102000","38280.746000","38343.309000","38394.910000","38435.674000","38465.741000","38485.284000","38494.485000","38493.545000","38482.683000","38462.146000","38432.209000","38393.168000","38345.293000","38288.875000","38224.203000","38151.583000","38071.343000","37983.823000","37889.393000","37788.419000","37681.331000","37568.521000"
"2","Afghanistan","3010","Population - Est. & Proj.","551","Rural population","1000 persons","7286.991000","7352.856000","7425.363000","7504.561000","7590.370000","7682.763000","7781.641000","7886.997000","7998.664000","8116.554000","8240.554000","8370.731000","8507.016000","8649.566000","8798.496000","8954.064000","9113.479000","9276.202000","9446.519000","9630.541000","9830.690000","10045.261000","10267.199000","10487.151000","10692.696000","10872.864000","11033.148000","11170.461000","11255.639000","11251.885000","11129.292000","10891.902000","10563.504000","10190.525000","9834.677000","9544.582000","9321.752000","9166.105000","9117.520000","9293.948000","9655.167000","10230.490000","10995.568000","11858.090000","12690.115000","13401.971000","13952.791000","14373.573000","14733.655000","15137.497000","15657.474000","16318.324000","17086.910000","17909.063000","18692.107000","19378.962000","19961.972000","20464.923000","20929.119000","21415.593000","21966.187000","22594.126000","23280.663000","23997.856000","24703.798000","25368.923000","25985.093000","26558.609000","27099.874000","27626.382000","28150.604000","28674.023000","29191.512000","29701.149000","30199.465000","30683.762000","31153.570000","31609.269000","32049.876000","32474.347000","32881.648000","33270.867000","33641.099000","33991.382000","34320.722000","34628.216000","34913.055000","35174.475000","35411.646000","35623.832000","35810.485000","35971.542000","36107.678000","36221.721000","36314.614000","36386.218000","36436.477000","36465.547000","36473.780000","36461.658000","36429.603000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","Afghanistan","3010","Population - Est. & Proj.","561","Urban population","1000 persons","465.127000","486.654000","509.617000","534.035000","560.077000","587.818000","617.389000","648.810000","682.282000","717.891000","755.797000","796.033000","838.852000","884.388000","932.865000","984.350000","1038.852000","1096.428000","1157.827000","1223.887000","1295.433000","1372.564000","1454.741000","1540.671000","1628.845000","1717.422000","1807.151000","1897.077000","1982.095000","2054.810000","2119.078000","2162.052000","2186.141000","2198.744000","2212.438000","2238.468000","2279.289000","2336.656000","2423.368000","2483.661000","2593.947000","2763.167000","2985.663000","3237.009000","3482.604000","3697.570000","3870.093000","4008.032000","4130.344000","4266.179000","4436.282000","4648.139000","4893.013000","5155.788000","5426.872000","5691.836000","5931.478000","6151.869000","6364.912000","6588.738000","6836.980000","7114.473000","7416.295000","7733.832000","8054.222000","8367.571000","8670.939000","8971.472000","9273.302000","9582.625000","9904.337000","10239.684000","10587.583000","10948.055000","11320.521000","11704.638000","12100.876000","12510.046000","12932.441000","13368.312000","13817.897000","14281.457000","14759.230000","15251.394000","15758.064000","16279.334000","16815.273000","17365.885000","17931.018000","18510.406000","19103.637000","19710.141000","20328.618000","20955.421000","21588.764000","22228.097000","22872.875000","23522.644000","24177.043000","24835.782000","25498.515000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 persons","1263.174000","1287.500000","1316.093000","1348.112000","1382.898000","1419.994000","1459.120000","1500.181000","1543.255000","1588.513000","1636.090000","1685.936000","1737.686000","1790.573000","1843.634000","1896.171000","1947.830000","1998.740000","2049.210000","2099.729000","2150.707000","2202.189000","2254.056000","2306.290000","2358.846000","2411.732000","2464.983000","2518.685000","2572.850000","2627.505000","2682.690000","2737.026000","2790.275000","2844.871000","2904.140000","2969.672000","3044.212000","3124.894000","3200.977000","3257.925000","3286.073000","3280.395000","3245.886000","3195.199000","3146.519000","3112.936000","3098.700000","3099.752000","3110.682000","3122.697000","3129.243000","3129.704000","3126.187000","3118.023000","3104.892000","3086.810000","3063.021000","3033.998000","3002.678000","2973.048000","2948.023000","2928.592000","2914.096000","2903.790000","2896.305000","2890.513000","2886.438000","2884.169000","2882.740000","2880.917000","2877.797000","2872.933000","2866.374000","2858.430000","2849.657000","2840.464000","2830.850000","2820.633000","2809.861000","2798.631000","2786.974000","2774.956000","2762.535000","2749.560000","2735.798000","2721.082000","2705.362000","2688.715000","2671.236000","2653.089000","2634.384000","2615.170000","2595.442000","2575.253000","2554.640000","2533.645000","2512.295000","2490.631000","2468.687000","2446.491000","2424.061000","2401.401000","2378.561000","2355.549000","2332.395000","2309.101000","2285.692000","2262.158000","2238.515000","2214.764000","2190.895000","2166.919000","2142.808000","2118.540000","2094.101000","2069.447000","2044.570000","2019.454000","1994.064000","1968.343000","1942.260000","1915.802000","1888.965000","1861.740000","1834.075000","1805.975000","1777.455000","1748.518000","1719.224000","1689.611000","1659.730000","1629.630000","1599.333000","1568.930000","1538.499000","1508.105000","1477.808000","1447.634000","1417.676000","1388.001000","1358.697000","1329.788000","1301.302000","1273.239000","1245.593000","1218.363000","1191.538000","1165.112000","1139.106000","1113.510000","1088.336000"
"3","Albania","3010","Population - Est. & Proj.","512","Total Population - Male","1000 persons","648.220000","660.991000","675.879000","692.491000","710.501000","729.678000","749.897000","771.095000","793.316000","816.610000","841.060000","866.610000","893.102000","920.151000","947.310000","974.227000","1000.739000","1026.912000","1052.868000","1078.809000","1104.899000","1131.158000","1157.554000","1184.100000","1210.869000","1237.893000","1265.219000","1292.864000","1320.788000","1348.940000","1377.288000","1404.951000","1431.805000","1459.310000","1489.534000","1523.437000","1562.939000","1606.320000","1646.547000","1674.093000","1682.757000","1668.923000","1636.156000","1594.152000","1556.685000","1533.506000","1528.212000","1537.362000","1555.189000","1572.740000","1583.506000","1586.178000","1582.936000","1574.841000","1563.966000","1551.975000","1538.721000","1523.893000","1508.919000","1495.558000","1485.068000","1478.059000","1474.211000","1472.670000","1472.095000","1471.456000","1470.548000","1469.588000","1468.376000","1466.785000","1464.714000","1462.011000","1458.612000","1454.621000","1450.237000","1445.592000","1440.696000","1435.496000","1430.032000","1424.317000","1418.371000","1412.230000","1405.881000","1399.252000","1392.258000","1384.835000","1376.956000","1368.666000","1360.015000","1351.080000","1341.930000","1332.585000","1323.040000","1313.325000","1303.447000","1293.450000","1283.333000","1273.097000","1262.775000","1252.364000","1241.861000","1231.285000","1220.632000","1209.902000","1199.095000","1188.190000","1177.203000","1166.123000","1154.938000","1143.648000","1132.250000","1120.728000","1109.069000","1097.261000","1085.269000","1073.080000","1060.680000","1048.064000","1035.212000","1022.091000","1008.689000","995.009000","981.047000","966.816000","952.293000","937.492000","922.423000","907.109000","891.584000","875.896000","860.087000","844.176000","828.191000","812.181000","796.183000","780.250000","764.401000","748.657000","733.055000","717.631000","702.405000","687.397000","672.626000","658.068000","643.736000","629.622000","615.722000","602.012000","588.501000","575.174000","562.017000"
"3","Albania","3010","Population - Est. & Proj.","513","Total Population - Female","1000 persons","614.944000","626.508000","640.211000","655.622000","672.397000","690.313000","709.218000","729.085000","749.940000","771.896000","795.031000","819.316000","844.573000","870.420000","896.339000","921.948000","947.097000","971.831000","996.346000","1020.929000","1045.805000","1071.028000","1096.504000","1122.184000","1147.983000","1173.840000","1199.762000","1225.821000","1252.064000","1278.566000","1305.409000","1332.067000","1358.479000","1385.557000","1414.608000","1446.234000","1481.262000","1518.572000","1554.425000","1583.820000","1603.313000","1611.474000","1609.731000","1601.044000","1589.833000","1579.417000","1570.487000","1562.385000","1555.510000","1549.960000","1545.740000","1543.523000","1543.247000","1543.176000","1540.927000","1534.835000","1524.300000","1510.100000","1493.764000","1477.486000","1462.961000","1450.542000","1439.880000","1431.118000","1424.212000","1419.068000","1415.879000","1414.581000","1414.359000","1414.128000","1413.086000","1410.923000","1407.766000","1403.797000","1399.420000","1394.876000","1390.162000","1385.128000","1379.831000","1374.314000","1368.601000","1362.722000","1356.666000","1350.308000","1343.539000","1336.251000","1328.410000","1320.051000","1311.223000","1302.004000","1292.455000","1282.588000","1272.400000","1261.932000","1251.180000","1240.189000","1228.962000","1217.535000","1205.918000","1194.129000","1182.191000","1170.115000","1157.928000","1145.647000","1133.304000","1120.906000","1108.481000","1096.042000","1083.579000","1071.112000","1058.654000","1046.192000","1033.734000","1021.286000","1008.836000","996.365000","983.897000","971.393000","958.858000","946.255000","933.575000","920.802000","907.926000","894.924000","881.784000","868.486000","855.025000","841.403000","827.634000","813.711000","799.642000","785.453000","771.148000","756.753000","742.314000","727.856000","713.408000","698.978000","684.617000","670.382000","656.293000","642.390000","628.688000","615.171000","601.858000","588.734000","575.814000","563.102000","550.604000","538.336000","526.321000"
"3","Albania","3010","Population - Est. & Proj.","551","Rural population","1000 persons","1003.869000","1010.645000","1016.436000","1023.453000","1030.967000","1038.512000","1052.235000","1071.504000","1091.461000","1112.188000","1133.697000","1164.229000","1198.718000","1233.922000","1269.163000","1303.967000","1338.094000","1371.628000","1404.776000","1437.257000","1467.991000","1498.850000","1529.743000","1560.670000","1591.577000","1622.471000","1653.365000","1684.337000","1715.370000","1746.480000","1776.005000","1804.665000","1832.278000","1860.451000","1891.335000","1925.949000","1965.997000","2009.561000","2049.704000","2077.214000","2086.075000","2073.348000","2033.508000","1983.942000","1936.056000","1897.862000","1871.645000","1854.740000","1843.604000","1832.914000","1818.833000","1797.423000","1762.229000","1724.344000","1683.584000","1640.246000","1593.892000","1545.166000","1496.108000","1449.427000","1406.665000","1368.297000","1333.585000","1302.236000","1272.790000","1244.341000","1216.737000","1190.155000","1164.388000","1139.266000","1114.672000","1090.487000","1066.667000","1043.276000","1020.417000","998.161000","976.498000","955.382000","934.800000","914.735000","895.174000","876.116000","857.570000","839.540000","822.025000","805.034000","788.573000","772.664000","757.351000","742.008000","726.709000","711.475000","696.319000","681.265000","666.337000","651.555000","636.931000","622.480000","608.216000","594.158000","580.320000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","Albania","3010","Population - Est. & Proj.","561","Urban population","1000 persons","259.305000","276.852000","299.653000","324.646000","351.911000","381.458000","406.854000","428.645000","451.761000","476.296000","502.359000","521.671000","538.926000","556.612000","574.430000","592.158000","609.691000","627.065000","644.375000","662.396000","682.607000","703.185000","724.101000","745.333000","766.886000","788.758000","810.971000","833.535000","856.480000","879.806000","905.234000","930.664000","956.036000","982.173000","1010.257000","1040.849000","1075.010000","1111.775000","1147.363000","1176.442000","1195.379000","1202.083000","1207.079000","1205.641000","1204.539000","1208.874000","1220.583000","1238.301000","1260.155000","1282.662000","1303.137000","1324.985000","1356.800000","1386.661000","1414.163000","1438.933000","1460.439000","1478.741000","1495.543000","1513.208000","1533.860000","1558.362000","1586.454000","1616.742000","1647.985000","1679.011000","1709.611000","1740.032000","1769.975000","1799.162000","1827.362000","1854.317000","1879.873000","1904.065000","1927.019000","1948.831000","1969.454000","1988.766000","2006.714000","2023.226000","2038.245000","2051.748000","2063.726000","2074.176000","2083.070000","2090.417000","2096.209000","2100.469000","2103.221000","2105.172000","2106.349000","2106.784000","2106.493000","2105.513000","2103.911000","2101.720000","2098.974000","2095.708000","2091.963000","2087.803000","2083.271000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
