Country,Total Population,Location,Muslim Population
China,1439323776,Eastern Asia,50000000
India,1380004385,Southern Asia,204000000
Indonesia,273523615,South-Eastern Asia,227226404
Pakistan,220892340,Southern Asia,204828605
Bangladesh,164689383,Southern Asia,149100000
Japan,126476461,Eastern Asia,126420
Philippines,109581078,South-Eastern Asia,7000000
Vietnam,97338579,South-Eastern Asia,65000
Turkey,84339067,Western Asia,80648903
Iran,83992949,Southern Asia,81380271
Thailand,69799978,South-Eastern Asia,3420706
Myanmar,54409800,South-Eastern Asia,2300000
South Korea,51269185,Eastern Asia,100000
Iraq,40222493,Western Asia,38552957
Afghanistan,38928346,Southern Asia,31259267
Saudi Arabia,34813871,Western Asia,33413660
Uzbekistan,33469203,Central Asia,31511013
Malaysia,32365999,South-Eastern Asia,19500000
Yemen,29825964,Western Asia,28915284
Nepal,29136808,Southern Asia,1285630
North Korea,25778816,Eastern Asia,100000
Sri Lanka,21413249,Southern Asia,2080068
Kazakhstan,18776707,Central Asia,13158672
Syria,17500658,Western Asia,15907434
Cambodia,16718965,South-Eastern Asia,312540
Jordan,10203134,Western Asia,9645622
Azerbaijan,10139177,Western Asia,9050000
United Arab Emirates,9890402,Western Asia,7665872
Tajikistan,9537645,Central Asia,8560251
Israel,8655535,Western Asia,1580730
Laos,7275560,South-Eastern Asia,8000
Lebanon,6825445,Western Asia,3200000
Kyrgyzstan,6524195,Central Asia,5194811
Turkmenistan,6031200,Central Asia,5459417
Singapore,5850342,South-Eastern Asia,883338
Oman,5106626,Western Asia,4605188
State of Palestine,5101414,Western Asia,4479347
Kuwait,4270571,Western Asia,3592882
Georgia,3989167,Western Asia,372819
Mongolia,3278290,Eastern Asia,161560
Armenia,2963243,Western Asia,2000
Qatar,2881053,Western Asia,1985273
Bahrain,1701575,Western Asia,1214995
Timor-Leste,1318445,South-Eastern Asia,100000
Cyprus,1207359,Western Asia,217119
Bhutan,771608,Southern Asia,10000
Maldives,540544,Southern Asia,378114
Brunei,437479,South-Eastern Asia,366851
Taiwan,23816775,(China),70732
Hong Kong,7496981,China,305404
Macao,,,10000
